commodity,Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
Bawang Merah,2022-02-05,29320.0,20280.0,31030.0,27750.0,24470.0,32320.0,36690.0,24220.0,26930.0,27680.0,24600.0,30260.0,25660.0,28740.0,30830.0,37080.0,34060.0,33660.0,26200.0,47170.0,37270.0,19740.0,26120.0,44920.0,47570.0,28000.0,25480.0,25020.0,30800.0,31730.0,37510.0,24800.0,29750.0,28670.0
Bawang Merah,2022-02-06,29080.0,20310.0,29860.0,28460.0,24960.0,35300.0,36940.0,24280.0,27120.0,27940.0,24770.0,31000.0,25810.0,28800.0,31380.0,37310.0,34270.0,35800.0,25830.0,46400.0,38090.0,18520.0,25060.0,43340.0,48060.0,28410.0,25720.0,25110.0,30960.0,31740.0,37560.0,24980.0,29440.0,28700.0
Bawang Merah,2022-02-07,29730.0,21390.0,31210.0,28460.0,27730.0,35830.0,37170.0,24890.0,27310.0,29190.0,26150.0,30810.0,25830.0,28800.0,29750.0,37080.0,34200.0,36470.0,25670.0,46950.0,37270.0,19230.0,25510.0,43890.0,47080.0,28930.0,25600.0,25540.0,32390.0,31680.0,37810.0,25540.0,29900.0,28680.0
Bawang Merah,2022-02-08,29960.0,22400.0,31360.0,29510.0,28320.0,35660.0,36280.0,24740.0,27530.0,29830.0,27240.0,30950.0,26160.0,29770.0,32630.000000000004,36450.0,34430.0,36810.0,26390.0,46950.0,37270.0,19910.0,25850.0,45540.0,46890.0,28750.0,26120.0,25090.0,32290.0,32240.000000000004,37170.0,25930.0,29850.0,29060.0
Bawang Merah,2022-02-09,29790.0,23530.0,32270.000000000004,28980.0,28980.0,35660.0,36490.0,25570.0,27700.0,30710.0,27360.0,31640.0,27320.0,30000.0,31840.0,36450.0,33680.0,36810.0,26890.0,47450.0,37270.0,20550.0,24760.0,44140.0,45850.0,29310.0,26300.0,25430.0,32500.0,31550.0,37170.0,26410.0,29800.0,29220.0
Bawang Merah,2022-02-10,30730.0,24790.0,34440.0,29200.0,29360.0,36370.0,35780.0,26500.0,28770.0,31300.0,28490.0,31810.0,27090.0,30360.0,32570.0,36450.0,34600.0,36310.0,27370.0,47730.0,38090.0,19910.0,25820.0,43010.0,47260.0,29590.0,26120.0,25830.0,32860.0,32380.000000000004,38050.0,27130.0,30300.0,29490.0
Bawang Merah,2022-02-11,30850.0,24950.0,33200.0,29990.0,29360.0,39370.0,35230.0,27110.0,29290.0,31390.0,29260.0,32420.0,27710.0,30310.0,31960.0,36680.0,34640.0,35100.0,26900.0,48360.0,37270.0,21620.0,25560.0,47840.0,47480.0,29160.0,27090.0,25700.0,33100.0,32390.0,38010.0,27130.0,31110.0,29470.0
Bawang Merah,2022-02-12,31010.0,24850.0,33630.0,33080.0,29550.0,39270.0,35960.0,27250.0,29700.0,32120.0,28530.0,33210.0,27530.0,31440.0,31470.0,34580.0,35390.0,36030.0,27570.0,47730.0,36740.0,20410.0,25300.0,43520.0,48220.0,29860.0,26700.0,25810.0,32100.0,33510.0,38150.0,27360.0,31000.0,29840.0
Bawang Merah,2022-02-13,31300.0,25140.0,34300.0,34170.0,30090.0,36540.0,36470.0,28460.0,30160.0,31850.0,29030.0,33930.0,28550.0,31600.0,32440.0,36100.0,36120.0,35100.0,29030.0,47170.0,37890.0,19740.0,24960.0,43270.0,48560.0,30410.0,27190.0,26020.0,32290.0,32990.0,38320.0,28500.0,31060.0,29540.0
Bawang Merah,2022-02-14,31820.0,27050.0,33690.0,34350.0,30340.0,39240.0,36540.0,30390.0,31570.0,32970.0,29580.0,34330.0,29670.0,32220.0,33020.0,36100.0,38400.0,35850.0,29650.0,47450.0,36090.0,23010.0,25130.0,44650.0,47620.0,31930.0,28420.0,25930.0,33420.0,32360.0,38150.0,29350.0,31070.0,30210.0
Bawang Merah,2022-02-15,32020.000000000004,28080.0,34610.0,34880.0,30130.0,39710.0,35930.0,30620.0,31130.0,33430.0,30420.0,34890.0,32380.000000000004,34440.0,33190.0,35950.0,38240.0,35580.0,29610.0,47450.0,37590.0,22690.0,26080.0,44650.0,48810.0,32540.0,29410.0,25950.0,34400.0,31320.0,37790.0,29740.0,31290.0,31230.0
Bawang Merah,2022-02-16,32940.0,29030.0,35280.0,36800.0,31700.0,38510.0,35930.0,30940.0,31600.0,33160.0,30730.0,35280.0,32440.0,34440.0,33790.0,36380.0,38350.0,35100.0,29870.0,47730.0,37590.0,23160.0,25720.0,45000.0,47920.0,32490.000000000004,30340.0,26710.0,34780.0,32550.0,37760.0,29760.0,31130.0,31400.0
Bawang Merah,2022-02-17,32680.0,30310.0,33720.0,36540.0,31260.0,37290.0,36630.0,30860.0,31860.0,34540.0,31110.0,35470.0,32520.000000000004,35140.0,34040.0,37000.0,37540.0,32610.0,29950.0,46940.0,37950.0,23190.0,25560.0,44780.0,47960.0,32530.0,29770.0,26360.0,34110.0,32550.0,37780.0,29330.0,31340.0,31820.0
Bawang Merah,2022-02-18,33320.0,30950.0,34870.0,36610.0,30830.0,38130.0,35740.0,31170.0,31550.0,34490.0,31990.0,35660.0,33040.0,35400.0,34190.0,36790.0,38230.0,34960.0,30420.0,47240.0,36990.0,23010.0,25100.0,44720.0,48100.0,33360.0,29910.0,26500.0,34480.0,32100.0,38410.0,30400.0,31660.0,31970.0
Bawang Merah,2022-02-19,33780.0,30780.0,33670.0,38640.0,30600.0,38130.0,37470.0,31170.0,31230.0,34610.0,31720.0,36580.0,32480.0,35710.0,35890.0,37190.0,38250.0,35440.0,30720.0,47240.0,36910.0,24070.0,25320.0,43090.0,49240.0,32530.0,31130.0,26590.0,33640.0,32760.0,38240.0,29950.0,32170.0,32420.0
Bawang Merah,2022-02-20,34330.0,29870.0,31470.0,37980.0,31610.0,38130.0,37460.0,31530.0,31910.0,34580.0,31690.0,37060.0,32870.0,36260.0,36420.0,36790.0,38330.0,34960.0,29890.0,47500.0,38430.0,25020.0,25050.0,44810.0,48680.0,32920.0,30430.0,26880.0,33690.0,33510.0,37540.0,29840.0,32460.0,32660.0
Bawang Merah,2022-02-21,35010.0,30930.0,33950.0,38270.0,31610.0,38510.0,38600.0,31770.0,32210.0,34420.0,32590.000000000004,36810.0,32620.0,36560.0,35860.0,37190.0,39860.0,35260.0,29280.0,47820.0,39080.0,25270.0,26190.0,44140.0,48240.0,34120.0,31990.0,27970.0,34080.0,32970.0,37690.0,30030.0,31900.0,33300.0
Bawang Merah,2022-02-22,35460.0,29780.0,33520.0,38170.0,31610.0,41160.0,40740.0,31570.0,31970.0,34540.0,32060.000000000004,37410.0,32980.0,37630.0,35600.0,38520.0,39700.0,33480.0,29650.0,47240.0,38510.0,24380.0,26190.0,44870.0,48240.0,33820.0,30760.0,28370.0,34400.0,33970.0,37750.0,30760.0,33060.0,33430.0
Bawang Merah,2022-02-23,35310.0,30010.0,33160.0,38580.0,31430.0,41830.0,40560.0,31810.0,32380.000000000004,34940.0,32050.0,38110.0,33390.0,38350.0,32480.0,38320.0,40490.0,34060.0,30880.0,47240.0,38100.0,25030.0,25180.0,46870.0,48470.0,33630.0,33320.0,29110.0,35070.0,34230.0,38280.0,30750.0,33260.0,33360.0
Bawang Merah,2022-02-24,34760.0,31250.0,35270.0,38790.0,30480.0,41520.0,40690.0,31720.0,32760.0,35310.0,32220.0,39300.0,33070.0,38570.0,36470.0,38320.0,39970.0,31950.0,31010.0,47450.0,38100.0,26300.0,25820.0,44000.0,48470.0,32640.0,32030.0,29130.0,35060.0,35820.0,38370.0,30810.0,33970.0,33070.0
Bawang Merah,2022-02-25,35540.0,32110.0,33810.0,37880.0,30480.0,41520.0,41650.0,31810.0,33000.0,35110.0,32360.0,39910.0,33380.0,38570.0,35140.0,38710.0,41490.0,34090.0,31800.0,47450.0,37990.0,24770.0,25990.0,43480.0,48850.0,32700.000000000004,32680.0,29100.0,36120.0,34230.0,38260.0,30500.0,32630.000000000004,33260.0
Bawang Merah,2022-02-26,35650.0,32260.0,35180.0,38470.0,30880.0,41520.0,40970.0,31890.0,33000.0,35330.0,32180.0,38310.0,33580.0,38630.0,37070.0,38710.0,41320.0,31480.0,32340.000000000004,47450.0,37260.0,26930.0,25480.0,45570.0,48720.0,32910.0,32330.0,29430.0,36700.0,34670.0,38250.0,31530.0,33020.0,33910.0
Bawang Merah,2022-02-27,36690.0,32930.0,34960.0,38370.0,31090.0,41520.0,42040.0,32170.0,33430.0,35160.0,32310.000000000004,39030.0,34690.0,39230.0,38420.0,38710.0,41870.0,35060.0,32130.000000000004,47450.0,38570.0,26850.0,25700.0,45570.0,50170.0,33480.0,32330.0,28900.0,36570.0,34750.0,38570.0,30760.0,33870.0,33540.0
Bawang Merah,2022-02-28,36630.0,32970.0,35530.0,38480.0,30920.0,41520.0,40710.0,32000.0,33300.0,35040.0,32580.0,39200.0,35270.0,39160.0,38350.0,38490.0,39920.0,34360.0,31170.0,47740.0,38340.0,28160.0,25890.0,45590.0,48870.0,33800.0,33920.0,29020.0,36750.0,35340.0,39150.0,30610.0,34310.0,33720.0
Bawang Merah,2022-03-01,36010.0,32700.000000000004,35990.0,38270.0,31890.0,41520.0,41320.0,31910.0,33090.0,35070.0,32150.0,38490.0,36390.0,39160.0,38900.0,38870.0,41080.0,34140.0,31810.0,48250.0,39690.0,28320.0,25910.0,48880.0,49330.0,33880.0,33940.0,29390.0,36680.0,35660.0,39900.0,31220.0,34530.0,34290.0
Bawang Merah,2022-03-02,36110.0,32600.0,35920.0,38680.0,31920.0,41160.0,42580.0,31640.0,33190.0,35340.0,32340.000000000004,38440.0,37740.0,39160.0,39070.0,38870.0,39240.0,31530.0,33230.0,49260.0,39830.0,28500.0,26160.0,46360.0,49810.0,34550.0,33760.0,30080.0,36460.0,35830.0,39610.0,31320.0,34540.0,34460.0
Bawang Merah,2022-03-03,36440.0,33000.0,34430.0,38680.0,31920.0,41160.0,41400.0,31440.0,33340.0,35200.0,32520.000000000004,39030.0,37910.0,39870.0,38960.0,39090.0,40380.0,31530.0,32660.0,48250.0,39780.0,29760.0,26140.0,44080.0,50390.0,34580.0,35890.0,30180.0,37340.0,35990.0,39200.0,30680.0,34570.0,34910.0
Bawang Merah,2022-03-04,35680.0,32370.0,35710.0,38970.0,31920.0,41520.0,40960.0,31050.0,33430.0,34710.0,33500.0,38430.0,38030.0,40260.0,37970.0,39090.0,40550.0,34580.0,33430.0,48250.0,40040.0,27310.0,25590.0,46670.0,50390.0,34510.0,34070.0,30620.0,38430.0,36300.0,40730.0,30350.0,35740.0,34910.0
Bawang Merah,2022-03-05,36190.0,32890.0,35740.0,38560.0,32890.0,41400.0,41360.0,30970.0,33200.0,34940.0,33410.0,38320.0,38590.0,40260.0,38690.0,39280.0,40200.0,34140.0,32860.0,48040.0,39950.0,28080.0,26900.0,46480.0,49330.0,34320.0,35930.0,30810.0,38430.0,36660.0,40680.0,30680.0,34330.0,34930.0
Bawang Merah,2022-03-06,36430.0,33100.0,34410.0,38540.0,32620.0,41160.0,41550.0,30970.0,33570.0,34960.0,32600.0,38120.0,38040.0,40260.0,38690.0,39050.0,40010.0,34140.0,32550.0,47180.0,40470.0,27890.0,25870.0,45090.0,50450.0,34950.0,35750.0,30540.0,38950.0,35850.0,40910.0,30260.0,34190.0,34840.0
Bawang Merah,2022-03-07,36450.0,33800.0,34270.0,38440.0,33090.0,40600.0,42150.0,30830.0,33290.0,34120.0,33150.0,38390.0,38090.0,40650.0,38800.0,39490.0,40370.0,33860.0,33010.0,49480.0,40560.0,27840.0,26810.0,48010.0,49850.0,34540.0,36110.0,30580.0,37840.0,37100.0,40950.0,30820.0,33640.0,34950.0
Bawang Merah,2022-03-08,36870.0,33710.0,34910.0,38350.0,32900.0,41160.0,41420.0,30830.0,33500.0,34580.0,32700.000000000004,37850.0,37810.0,41910.0,39250.0,39840.0,40810.0,31230.0,32920.0,49480.0,40470.0,27930.0,26660.0,48460.0,49830.0,35300.0,35740.0,31130.0,38410.0,37120.0,40340.0,31850.0,34140.0,34930.0
Bawang Merah,2022-03-09,37190.0,34240.0,34550.0,38250.0,33350.0,40810.0,40930.0,30830.0,33600.0,34630.0,31980.0,37480.0,38180.0,41870.0,39420.0,41290.0,42220.0,31470.0,33530.0,48270.0,40470.0,28870.0,27030.0,47230.0,49750.0,35820.0,36720.0,31910.0,38700.0,37370.0,40810.0,30930.0,34130.0,35310.0
Bawang Merah,2022-03-10,36670.0,33930.0,35070.0,38360.0,32700.000000000004,40260.0,40610.0,30800.0,33080.0,34250.0,32000.0,37270.0,37830.0,42310.0,39160.0,41290.0,41530.0,34820.0,33790.0,49480.0,39610.0,31220.0,27920.0,47730.0,49670.0,35610.0,36380.0,32010.0,38250.0,37240.0,40980.0,30480.0,33650.0,34990.0
Bawang Merah,2022-03-11,37200.0,33140.0,32470.0,38460.0,30680.0,40260.0,40630.0,30990.0,32760.0,34000.0,32090.000000000004,36760.0,37730.0,42310.0,39880.0,41270.0,41400.0,34710.0,34180.0,48440.0,40350.0,28550.0,27720.0,47730.0,50850.0,36050.0,34520.0,31450.0,38250.0,38240.0,42180.0,30750.0,33760.0,35130.0
Bawang Merah,2022-03-12,36760.0,33030.0,32300.0,38260.0,30640.0,39520.0,39680.0,31160.0,33300.0,34200.0,30410.0,37640.0,37750.0,42070.0,39150.0,41740.0,40850.0,34860.0,33980.0,48950.0,39920.0,24640.0,27000.0,46340.0,51150.0,35450.0,34700.0,31450.0,38180.0,37880.0,42330.0,30810.0,33940.0,34640.0
Bawang Merah,2022-03-13,36970.0,33030.0,30580.0,39190.0,30640.0,39520.0,40180.0,31250.0,33060.0,33020.0,31230.0,37020.0,37900.0,41580.0,38870.0,41510.0,40410.0,35250.0,32800.0,50060.0,41750.0,27510.0,26270.0,45840.0,50950.0,35550.0,34230.0,31450.0,38290.0,37380.0,41180.0,30390.0,34310.0,35050.0
